id,genres
2,"Drama, Comedy, Romance, Crime"
3,"Drama, Comedy, Romance"
5,Comedy
6,"Action, Crime, Thriller"
8,Documentary
11,"Adventure, Action, Science Fiction"
12,"Animation, Family"
13,"Comedy, Drama, Romance"
14,Drama
15,"Mystery, Drama"
