id,Action,Comedy,Crime,Drama,Family,Romance,Science Fiction,Thriller,Adventure,Animation,Documentary,Mystery
2,0,1,1,1,0,1,0,0,0,0,0,0
3,0,1,0,1,0,1,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0
6,1,0,1,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0
11,1,0,0,0,0,0,1,0,1,0,0,0
12,0,0,0,0,1,0,0,0,0,1,0,0
13,0,1,0,1,0,1,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,1
